;Judul;album;Lirik
79;Save Me;Nightmare;"If you're gonna scream, scream with me
Moments like this never last
When new creatures rape your face
Hybrids opened up the door

Ooh, baby, when you cry your face is momentary
You hide your looks behind these scars

In hybrid moments, give me a moment
Give me a moment, give me a moment

Ooh, baby, when you cry your face is momentary
You hide your looks behind these scars

In hybrid moments, in hybrid moments
In hybrid moments, in hybrid moments
Give me a moment, give me a moment"
80;Scream;Avenged Sevenfold;"When you see them coming in form (coming in form)
And they say they do what's best for you (what's best for you)
Fighting for one total control (total control)
They are planned and organized for you (for you)

Breaking their hold
Breaking their hold of control they strive
To keep you down, behind your back, the time has come, the end is near
It's when you sleep, so late at night, and in the light, getting prepared
It's not to help you, but help their cause, under one system, you won't exist
They are the few, with all the power
Our system screams, we can't let them tear our hearts out
Screaming, pulling on our pride
Stand together for the right cause, one system to our demise"
82;Seize The Day;City Of Evil;"Somewhere life is good, and things go as they should
It's hard to find, but that's alright yeah
Searching for the way, push harder everyday
It's deep inside, that shining light yeah
But I'm scarred, by barriers placed in my path
I'm scathed

This ride that takes me through life
Leads me into darkness but emerges into light
No one can ever slow me down
I'll stay unbound

Sometimes when we're young, and always on the run
It gets so dark and I know that place yeah
So don't be too concerned, you've got a lot to learn
Well so do I and we've got plenty of time yeah
Don't fall off the track yet with so many races to go
Hold on

This ride that takes me through life
Leads me into darkness but emerges into light
No one can ever slow me down
I'll stay unbound

Some live so wrong, with what we do is each his own
But living in fear, endless shame for countless years
I never lived in fear I knew I'd die another day
I never viewed my life as something... slipping away

Some live so wrong, with what we do is each his own
But living in fear, endless shame for countless years
I never lived in fear I knew I'd die another day
I never viewed my life as something... slipping away

There's nothing here to take for granted
With each breath that we take
The hands of time strip youth from our bodies
And we fade
Memories remain
As time goes on

There's nothing here to take for granted
With each breath that we take
The hands of time strip youth from our bodies
And we fade
Memories remain
As time goes on"
83;Set Me Free;Diamonds In The Rough;"Black and gray clouds willow in the balance as the sun falls
Rain plays a heart warming tune
On the pavement
Emotions stir
A feeling of warmness, compassion
I feel at home
Disguised by surroundings
As the torn and left in the gutter seek vengeance
On their mistreated lives

The torn, left in the cold
Seek vengeance on mistreated lives
The torn, left in the cold
Seek vengeance
Mistreated lives

A silhouette stands still
A darkness on a warm summer night
But the rain falls cold
And the moon shines bright

Black as night
Cold as ice
Warm as home
Ready to live
Stars they shoot
In a clear
Across the sky
As does my time
Waiting, wanting, feeling emotion
Crying, breaking, loving nothing

Clouds swallow the moon
And I'm alone
Thinking good times
And why'd they go?

Breaking down, breaking away from me
Falling down, breaking away from me
Fuck

I need
This place
To get away from you

Clouds swallow the moon
And I'm alone
Thinking good times
And why'd they go?

Clouds swallow the moon
And I'm alone
Thinking good times
And why'd they go?

Clouds swallow the moon
And I'm alone
Thinking good times
And why'd they go?"
84;Shattered By Broken Dreams;Sounding The Seventh Trumpet;"I am the man
Six days of bullshit, a wave of my hand
And you know what I need
Put your hands together, get down on your knees
Or climb a hill and just don't talk
I never made a man didn't trip when they walk the walk

It's so chic and we love
What you've done with the place
Compliments you with style and grace

Can't tell me that all I see
Ain't a gift from the fabulous one
Thought about a name that came to me
Can you explain why the phone would ring?
Prayed so hard and oh my Lord
I got a spot at the front of the lot
Can't be late for my weekly date
'Cause we're gonna save someone

What? What have I done?
Jesus Christ
You gotta be kidding me

I am the plan
Cheap imitations by obsessive fans
But you're great, and fun to watch
On the seventh day I thought about world peace
But I decided just to take it off

Ahh, ahh, ahh, ahh

It's so chic and we love
What you've done with the place
Compliments you with style and grace

Can't tell me that all I see
Ain't a gift from the fabulous one
Thought about a name that came to me
Explain why the phone would ring
Prayed so hard and oh my Lord
I got a spot at the front of the lot
Can't be late for my weekly date
'Cause we're gonna save someone

Ahh fuck, give me a delete button
Delete! Not too bad for a first try
Wen robot"
85;Shepherd Of Fire;Hail To The King;"I don't want to know
And I don't want to see you in this place
Your kind is a disgrace as I spit in your face
And I don't want to hear anymore
A friend is fucked with while he's having fun on the dance floor

Get the fuck out of here now
Come on you kids, stand your ground
This is your show, it's your family
All of my friends there for me

There's four-hundred more of us than them
So kick them out
Keep it positive
Keep it real
Keep it true
Together with my friends
I'll be there for you

There's four-hundred more of us than them
So kick them out
Keep it positive
Keep it real
Keep it true
Together with my friends
I'll be there for you

Through the problems thick and thin and problems we'll fight through
This is to my brothers, I'll be there for you
Through the problems thick and thin and problems we'll fight through
This is to my family, I'll be there for you

I don't want to know
And I don't want to see you in this place
Your kind is a disgrace as I spit in your face
And I don't want to hear anymore
A friend is fucked with while he's having fun on the dance floor"
87;Simulation;The Stage;"Passion in my eyes, as I lived it everyday
But how could you go throw it all away?
In my dreams it's me and you
It's there I saw it all come true
As time went by faith in you grew
So one thing left for me to do

I feel it burn inside
Burn in me like the rising sun
Lifted into the sky
Took away the only thing I loved
I know after tonight
All your power crumbles in my arms
So don't worry, I'll be fine
When my life ends, I'll leave this scar

And I felt down I need you there
Every note and every word seems so hard to take
Finally, we're destined

A smoking gun in hand
Now don't you realize what you've done?
Put a bullet in his back
Your hero since you were so young
How could you kill the man
Who brought salvation through your pain?
He must mean everything
To end it all this shameful way

Passion in my eyes, as I lived it everyday
But how could you go throw it all away?
In my dreams it's me and you
It's there I saw it all come true
As time went by faith in you grew
So one thing left for me to do

I started here so young
And helped you get along
Just did it for the love
And people healed through us
Don't live your life in vain
Don't take it out on me
You're cracked, so just remember
I'm not your enemy
I don't deserve to fall this way
By a man who felt betrayed

I felt so down now you're around to rescue me
Every note and every word I'm listening, yeah
Sometimes problems seem too deep to take (Too hard to take)
Sometimes I cry thinking my future looks so bleak

Finally, together we were destined
I know what's best for us in the end
Someone hear me, someone stop me
Someone listen, why aren't you listening?

Passion in my eyes, as I lived it everyday
But how could you go throw it all away?
In my dreams it's me and you
It's there I saw it all come true
As time went by faith in you grew
So one thing left for me to do

In my dreams it's me and you
It's there I saw it all come true
As time went by faith in you grew
So one thing's left, to finish you"
88;So Far Away;Nightmare;"Dust begins to fall to the ground
(And you sit there and do nothing)
The air is cold and thin
(You're content with doing nothing)
Thoughts are haunting me as I look around
(But in my life, I wanted more)
This will never end, when I'll bleed forever
(This will never end)

Don't acknowledge right, just dwell on wrong
This spot in hell's where I belong
I've come so far – it's been so long
Don't know why it started or where it came from

Outside shell is strong – confident
(There is nowhere to run and hide)
But slowly eats away
(Stuck alone inside your head)
Like a man plagued with disease, I try to fight
(Guess you're better off dead)
Through my pores it seems to seep
(Your mind bleeding)
When I'll bleed forever

Don't acknowledge right, just dwell on wrong
This spot in hell's where I belong
I've come so far – it's been so long
Don't know why it started or where it came from

And you sit there and do nothing
You're content with doing nothing

There's nowhere to run and hide
When you're living to die
Stuck alone inside your head
Better off dead
The phone would ring in the empty house
No one's around

Don't acknowledge right, just dwell on wrong
This spot in hell's where I belong
I've come so far – it's been so long
Don't know why it started or where it came from

But in my life, I wanted more
I needed more, I taste more"
89;St. James;Hail To The King;"The problem with society's been how do we teach
And if they'll believe
We'll fight this battle for years to come
'Til we all accept that we can stand on our own
Grandfather used his hands, he worked them to the bone
Provide his family with a happy home, alone

Don't take your aggression out on me
My own man is all I'm meant to be

This common place is so lazy, old, and tired
All your ideas are so fucking uninspired
Takes more than one idea
More than one person to fight the fight
How many times have you taught and not conspired?

You don't wanna be, they never say
But don't call us the liars

We've walked these alleys a thousand times
And scattered around a thousand lies
They are trying to hold you down
Your life may be hard
But keep your feet on the ground
Why don't I have the finer things that others have?
The chance is there if you want it all that bad
So bad

Don't take your aggression out on me
My own man is all I'm meant to be

This common place is so lazy, old, and tired
All your ideas are so fucking uninspired
Takes more than one idea
More than one person to fight the fight
How many times have you taught and not conspired?

Don't try and get me confused
'Cause I do understand
That sometimes people need help
That they may need a hand
When this problem's going on
A thing you have to get straight
Is that you don't own my hand
And I don't owe you a thing
So don't think about how sorry you feel
And now you're treated so bad

This common place is so lazy, old, and tired
All your ideas are so fucking uninspired
Takes more than one idea
More than one person to fight the fight
How many times have you taught and not conspired?

And as a race we look back and we've come so far
While some men conquered, the others had it so hard
But in these day we just complain while there's no one for us to fight
I guess we're bored and that's how we keep us occupied"
90;Streets;Sounding The Seventh Trumpet;"Darkness coats us
The smell of fall
Changing season
The graveyard is alive, black cat across my path
The chill of cold wind, the breath of the dead
Imprisoned souls
Trapped for eternity

Black crows break the silence
The garden of the dead's alive tonight and you can't stop it
Just enjoy it
Open up your mind and you will feel it too
The sound, the touch, the thoughts, that you've been so blind to
You can feel the thoughts of the dead
Feeling the thoughts of the dead
True or false, it's still there, breaking me
True or false, taking me, breaking me

You can feel it tonight
The wood has rotted away
Take the time absorb it
Their time is slipping away
Statues carved by hand
Statues that resemble their faces
They still breathe
Come join us

Smell the burning embers, time flickering away
Timeless but soon gone
Timeless but soon gone

Smell the burning embers, time flickering away
Timeless but soon gone
Timeless but soon gone

Smell the burning embers, time flickering away
Timeless but soon gone
Timeless but soon gone

And I can find myself, alone with just my thoughts
As time crumbles away
Time crumbles away

Smell the burning embers, time flickering away
Timeless but soon gone
Timeless but soon gone

And I can find myself, alone with just my thoughts
As time crumbles away
Time crumbles away"
91;Strength Of The World;City Of Evil;"Qué bonitos ojos tienes
Debajo de esas dos cejas
Debajo de esas dos cejas
Qué bonitos ojos tienes
Ellos me quieren mirar
Pero si tu no los dejas
Pero si tu no los dejas
Ni siquiera parpadear

Malagueña salerosa
Besar tus labios quisiera
Besar tus labios quisiera
Malagueña salerosa
Y decirte niña hermosa

Que eres lin... da y hechicera
Que eres linda y hechicera
Como el candor de una rosa

Si por pobre me desprecias
Yo te concedo razón
Yo te concedo razón
Si por pobre me desprecias
Yo no te ofrezco riquezas
Te ofrezco mi corazón
Te ofrezco mi corazón
A cambio de mi pobreza

Malagueña salerosa
Besar tus labios quisiera
Besar tus labios quisiera
Malagueña salerosa
Y decirte niña hermosa

Que eres lin... da y hechicera
Que eres linda y hechicera
Como el candor de una rosa
Y decirte niña hermosa"
92;Sunny Disposition;The Stage;"Total nightmare!
Total nightmare!

You wanna hear my side?
You need to drown to know
With all the times it hurt me to fuck you
I built a wall with your blood to show!

God save us!
God save us all!
God hates us!
God hates us all!

Total nightmare!
Total nightmare!

Nothing to heal
No one to break
Pills had a role now there's nothing to take
Nothing to trust
No one to fake
You'll find out sooner that it's best if we just know our place
(Lies!)

My infiltrated mind
My lacerated soul
It took me years, create me, control you
I left myself for an idea I stole

God save us!
God save us all!
God hates us!
God hates us all!

Total nightmare!
Total nightmare!

Liar!
Rape!
Kill!

Love!
Hate!
Fear!

You better take your time
(Liar!
Rape!
Kill!)
You better take it slow
Cause when you seek the one
(Love
Hate!
Fear!)
There's nothing left to show

Total nightmare!
Total nightmare!
Total nightmare!
Total nightmare!"
93;Tension;Diamonds In The Rough;"The wind of life and air from above smells of death
Angels sing of the end
Nothing you say and nothing you try can change time
Human race prepares to die"
94;The Art Of Subconscious Illusion;Sounding The Seventh Trumpet;"So, so you think you can tell
Heaven from Hell
Blue skies from pain?
Can you tell a green field
From a cold steel rail?
A smile from a veil?
Do you think you can tell?

And did they get you to trade
Your heroes for ghosts?
Hot ashes for trees?
Hot air for a cool breeze?
Cold comfort for change?
And did you exchange
A walk on part in the war
For a lead role in a cage?

How I wish, how I wish you were here
We're just two lost souls swimming in a fish bowl, year after year
Running over the same old ground
What have we found? The same old fears
Wish you were here

How I wish, how I wish you were here
We're just two lost souls swimming in a fish bowl, year after year
Running over the same old ground
What have we found? The same old fears
Wish you were here"
95;The Fight;Diamonds In The Rough;"I may not always love you
But long as there are stars above you
You never need to doubt it
I'll make you so sure about it

God only knows what I'd be without you

If you should ever leave me
Though life would still go on, believe me
The world could show nothing to me
So what good would living do me?

God only knows what I'd be without you

God only knows what I'd be without you

If you should ever leave me
Well life would still go on, believe me
The world could show nothing to me
So what good would living do me?

God only knows what I'd be without you
God only knows what I'd be without you
God only knows
God only knows what I'd be without you
God only knows what I'd be without you
God only knows
God only knows what I'd be without you
God only knows what I'd be without you
God only knows
God only knows what I'd be without you
God only knows what I'd be without you
God only knows
God only knows what I'd be without you
God only knows what I'd be without you
God only knows
God only knows what I'd be without you
God only knows what I'd be without you
God only knows
God only knows what I'd be without you"
97;The Wicked End;City Of Evil;"Can't you see, I'm easily bothered by persistence
One step from lashing out at you
You want in, to get under my skin
And call yourself a friend
I've got more friends like you
What do I do?

Is there no standard anymore?
What it takes, who I am, where I've been, belong
You can't be something you're not
Be yourself, by yourself
Stay away from me
A lesson learned in life
Known from the dawn of time

Respect, walk, what did you say?
Respect, walk, are you talking to me?
Are you talking to me?

Run your mouth, when I'm not around
It's easy to achieve
You cry to weak friends that sympathize
Can you hear, the violins, playing your song?
Those same friends tell me your every word

Is there no standard anymore?
What it takes, who I am, where I've been, belong
You can't be something you're not
Be yourself, by yourself
Stay away from me
A lesson learned in life
Known from the dawn of time

Respect, walk, what did you say?
Respect, walk, are you talking to me?
Respect, walk, what did you say?
Respect, walk, are you talking to me?
Are you talking to me?
No way punk

Respect, walk, what did you say?
Respect, walk, are you talking to me?
Respect, walk, what did you say?
Respect, walk, are you talking to me?
Are you talking to me?
Walk on home boy!"
98;Thick And Thin;Sounding The Seventh Trumpet;"There comes a day when we all find out for ourselves
That once we have the words to say, there's no one left to tell
I know why you're running away.

There's a place where nothing seems to be assembled quite cohesively,
It's all your mind, all your mind
Something little shouldn't feel this way,
We got a million thoughts we can't convey,
It's all your life, all your life!

It's four in the morning, you got one more chance to die
Like beautiful stories the greatest chapters flew right by
There comes a day when we all find out for ourselves
That once we have the words to say, there's no one left to tell
I know why you're running away.

These things don't happen here, another fictional reality
It's all you'll find, all you'll find!
It's just as good as any other day, I'm gonna teach you about mortality
No it's not right, it's not right!

It's four in the morning, you got one more chance to die
Like beautiful stories the greatest chapters flew right by
There comes a day when we all find out for ourselves
That once we have the words to say, there's no one left to tell
I know why you're running away.

In many ways I guess I'll never let you go.
I'm close behind but I've got room here left to grow,
Until our second chance, just enjoy the dance, and find out who we are
(These dreams will never leave you)
Let's find out what we are,
(These dreams will never leave you)
Never leave you asking why.

It's four in the morning, you got one more chance to die
Like beautiful stories the greatest chapters flew right by
There comes a day when we all find out for ourselves
That once we have the words to say, there's no one left to tell
I know why you're running, I know why you're running away!"
99;This Means War;Hail To The King;"So I arrived, naked and cold
A welcomed change from the abeyance of a ghost town catacomb
No need for counsel, I appreciate the time I'm not alone
(Why don't you get my lawyer on the phone?)

There were days these child eyes
Would overlook the ugliness and fantasize
I found my heart for the first time and I awakened in me
I left myself to navigate... and oh I felt control
(It seems these sheep have quite an appetite)

Who is the crowd that peers through the cage
As we perform here upon the stage?

As the boy became a man
In came a calm sophistication I can hardly understand
So lost in ego, didn't notice when the time had slipped away
(Yeah, everybody's got a sob story)

Jesus Christ was born to die
Leave it to man to levitate his own to idolize
We're simply sociopaths with no communication baby
I see your angle but we differ from our points of view
(So tell me, what's your cross to bear?)

Who is the crowd that peers through the cage
As we perform here upon the stage?
Tell me a lie in a beautiful way
I believe in answers, just not today

Hope my wheels don't abandon me now
Seeing that I'm out here alone
I'm running out of fight
And the wind speaks a comforting voice
Guiding me to her arms
Mother, I'm alright

It took the birth of sin to snake-rattle the mind
Before a blow to the head by the gavel of time
To wake up
Won't you wake up?
When did the walking apes decide that nuclear war
Was the only solution for them keeping the score?
Just wake up
Can't you wake up?

(You do know this is just a simulation, don't you?)

Who is the crowd that peers through the cage
As we perform here upon the stage?
Tell me a lie in a beautiful way
I believe in answers, just not today"
100;To End The Rapture;Sounding The Seventh Trumpet;"I slide through the wasteland that's my world
My hunger takes your life, preyed on to keep me alive, yeah
Mercy's all that you need, mercy's empty in me

Can't you feel the poison rising out of the morning and clear through the night
You can feel my strength destroy you straight to the heart from the venomous bite

That's right I shed my skin tonight but my fangs are hard to hide
And you know that you're going to die, yeah
Mercy's all that you need, mercy's empty to me

Can't you feel the poison rising out of the morning and clear through the night
You can feel my strength destroy you straight to the heart from the venomous bite
I can't regret, can't escape decisions made for me, no control
Fire that burns but never dies, wrapped around I'll bury my fangs inside

Making my way through the night you're still in my sight
You're running away 'cause you know you can't hide
My instincts are cold blooded hate, to you I'm the bearer of fate
Wrong place and now the wrong time, now terror is all that you'll find

Can't you feel the poison rising straight to the heart of the venomous bite
Can't you feel the poison rising out of the morning and clear through the night
You can feel my strength destroy you straight to the heart from the venomous bite
I can't regret, can't escape decisions made for me, no control
Fire that burns but never dies, wrapped around I'll bury my fangs inside

Stay inside tonight - you're out there all alone
Vanish from my sights - venomous control
You won't make it right - my appetite has grown
Lost the final fight - no love will be shown

Stay inside tonight - you're out there all alone
Vanish from my sights - venomous control
You can't make it right - my appetite has grown
Lost the final fight - no love will be shown"
101;Tonight The World Dies;Nightmare;"Slit my wrists, take away the pain
Slit my throat, there's no one to blame
Lost in the fields of confusion
Restless nights, they're not far away
Away, what
I came here for something and I'm not turning back
Strong piece of mind but you still hold my keys
Keeping my fate deep within your threshold
Petty inconvenience but it means the world to me

You hold the power
To set me free
Caught in your grasp, how?
Just let me be
Give me control out
Out of these depths
A fiery hell
I pray for death

I've been the wrong one time and time again
Now I'm on my knees forgive me please
Tore out my heart, handed to me on a silver platter
Sew up the hole, emptiness in the place of compassion

You made me this way
I am the product of your creation
Sew up the hole, right now
Now you turn the other way

You've turned away from me
The future's much too far away to see
I hope you learn the truth
Not the way things were meant to be with me and you"
102;Trashed And Scattered;City Of Evil;"Yeah, you've been alone
I've been gone for far too long
But with all that we've been through
After all this time I'm coming home to you

Never let it show
The pain I've grown to know
'Cause with all these things we do
It don't matter when I'm coming home to you

I reach towards the sky I've said my goodbyes
My heart's always with you now
I won't question why so many have died
My prayers have made it through yeah
'Cause with all these things we do
It don't matter when I'm coming home to you

Letters keep me warm
Helped me through the storm
But with all that we've been through
After all this time I'm coming home to you

I reach towards the sky I've said my goodbyes
My heart's always with you now
I won't question why so many have died
My prayers have made it through yeah
'Cause with all these things we do
It don't matter when I'm coming home to you

I've always been true
I've waited so long just to come hold you
I'm making it through
It's been far too long, we've proven our
Love over time's so strong, in all that we do
The stars in the night, they lend me their light
To bring me closer to heaven with you

(Bring me closer)

But with all that we've been through
After all this time I'm coming home to you

I reach towards the sky I've said my goodbyes
My heart's always with you now
I won't question why so many have died
My prayers have made it through yeah
'Cause with all these things we do
It don't matter when I'm coming home to you

And with all that we've been through
After all this time I'm coming home to you"
103;Turn The Other Way;Sounding The Seventh Trumpet;"Cry alone, I've gone away
No more nights, no more pain
I've gone alone, took all my strength
I've made the change,
I won't see you tonight

Sorrow, sank deep inside my blood
All the ones around me
I cared for and loved

It's building up inside of me
A place so dark, so cold, I had to set me free
Don't mourn for me, 
You're not the one to place the blame
As bottles call my name I won't see you tonight

Sorrow sank deep inside my blood 
All the ones around me
I cared for and most of all I loved
But I can't see myself that way
Please don't forget me or cry while I'm away

Cry alone, I've gone away
No more nights, no more pain
I've gone alone, took all my strength
But I've made the change,
I won't see you tonight

So far away, I'm gone. 
Please don't follow me tonight
And while I'm gone everything will be alright

No more breath inside
Essence left my heart tonight
No more breath inside
Essence left my heart tonight"
104;Unbound (The Wild Ride);Avenged Sevenfold;"We've been through hell. Sewn up our eyes
Found fuel in meds. Viewed through the narrow
Encouraged fear when so inclined
Bought peace through wars that doomed our children to die

Ego is sure to fix the world
Served up to happy boys and girls
I'd make a decision if granted the privilege but I'm afraid my taste is unrefined
And no one likes cheap wine

When the clouds kiss your eye
Shadows stain on the high-rise
Raise your thumb to the sky
Fossilize

You own the burg. We sleep in streets
You dine then waste. We forage to eat
Well who pays the tab when you cross the line?
Who writes the check? Who's herding the swine?

Just takes a fence to rule the roost
As long as the scale has been reduced
How can we see outside of the pen when survival has possession of our minds?
Calmly walk the line

When the clouds kiss your eye
Shadows stain on the high-rise
Raise your thumb to the sky
Fossilize
All good things come with time
When you know then you'll know
Such a marvelous find in an illusion

(Vlader Lauder sat in sorrow
For all his teeth had gone
He drank sweet rum
While fingering his gun
And eyeballed a feast
Not one bite he could eat
Somebody cut off his head!)

Dear radiation, my sweet friend
Let agents dance upon my nerves
Let sunlight glow under my skin
Let toxins seep into my soul

When the clouds kiss your eye
Shadows stain on the high-rise
Raise your thumb to the sky
Fossilize
All good things come with time
When you know then you'll know
Such a marvelous time I will find in an illusion

It's an illusion"
105;Unholy Confessions;Waking The Fallen;"Lights paint the windows in the sky
The past is sown
In pursuit our spirit shown
But for now there's no one home

Heaven works on borrowed time
(Walk alone)
Empty pages burn forever mine
(Walk alone)
Masquerade us upon high
(Walk alone)
All we are is all we've left behind

My sweet Medusa, reflect the empty in our being
Snakes born of fire conjure the demons in our dreams

In void we illustrate our lives
Emerge in small
Heed the sign meant to evolve
To the end we send the call

Heaven works on borrowed time
(Walk alone)
Empty pages burn forever mine
(Walk alone)
Masquerade us upon high
(Walk alone)
All we are is all we've left behind

Where children shiver in the cold
The sun will shine
Just a touch to heal the blind
In ourselves we hope to find

Heaven works on borrowed time
(Walk alone)
Empty pages burn forever mine
(Walk alone)
Masquerade us upon high
(Walk alone)
All we are is all we've left behind

Alone"
106;Until The End;Diamonds In The Rough;"The lives of some men
If walls could talk to spill the lies
We'd see the world through devil's eyes

I maintain an addiction
Been known to take it too high
I got an itch with a loaded hair trigger
And a one-way ticket to fly

When there's no writing on the wall
I see the lifeless devils start to crawl
I don't need no lessons
After all
Everybody's doin' their time

Caught your eye in the corner
Don't you look at me wrong
Fucked up and thrown into the gutter gotta fix what don't belong

I see the writing on the wall
I see the lifeless devils start to crawl
And I don't need no lessons
After all
Everybody's doin' their time

That's just the price to play
So tell me what you like
Gotta hand on the kerosene match tonight, right

Had enough of opinions
I got enough on my mind
Sell your soul for approval and a dollar
Got a pretty little body to grind

I see your number on the wall
I see the lifeless devils start to crawl
I don't need no lessons
Watch the fall
You lost my attention
After all
Everybody's doin' their time
Time"
107;Victim;Nightmare;"As the embers rose through the Roman Sky
Tell me, were you calm when they took your life?

Just before you go, tell us how the heavens flow
Weightless evermore, as you walk beyond that door
Shine forever true

Shared with us the world well before your time
Though they took your voice, words forever shine, yeah

Just before you go, tell us how the heavens flow
Weightless evermore, as you walk beyond that door
Shine forever true

As they spoke your fate, a fearless man replied
""As you will sentence me, your fear is beyond mine, yeah""

Just before you go, tell us how the heavens flow
Weightless evermore, as you walk beyond that door
Shine forever true"
108;Waking The Fallen;Waking The Fallen;"So much time I've wasted
That I truly never thought it would really come to this
Never would I doubt you
But the truth kept smacking me in the face

Reality
You never stopped to think
And you ripped us apart
How could you?
Now our time is gone
But now it's breaking my heart

Tears run down as I think of the days we've had
And the memories will last forever
But you and I will die
And go our separate ways

You are the one
You are the wrong one
Breaking the mold
Going your own way, go

All I
Feel is
Betrayal
Betrayal

So much time I've wasted
And I never thought it'd come to this
So much time I've wasted
And I never thought it'd come to this
So much time I've wasted
And I never thought it'd come to this
So much time I've wasted
And I never thought it'd come to this

We had something great
Then it was washed away
We had something more
Than I can explain
I'm sorry

(No) We had something great
Then it was washed away
(No) Not all friendships last
The genuine are harder to take
(No) Time to start again
I hope someday you'll think of me
(No) The end reality
I know someday I'll think of you"
109;Waking The Fallen: Resurrected;Waking The Fallen;"Godless - meteoric war,
Anger – our existence nevermore.
You awoke the giants who were dormant in the sky,
Comets raining death from a fiery eye.

[Chorus:]
Mother of all, your time is coming,
One with eternity.
When planets collide,
Planets collide.

Damage – galaxy destruct,
Endless - celestial orbit corrupt.
You will be forgotten like the others lost in time,
Dead civilization left behind.

[Chorus]

Take heed, the violent march is closing in,
You can't defeat them on your own.
Weapons are loaded for the final stand,
And they're all aimed at you from heaven!

Planets collide.
Planets collide.
Planets collide.
Planets collide.

You will be forgotten like the others lost in time,
Dead civilization left behind.

[Chorus]"
110;Walk;Diamonds In The Rough;"Come back to me, this is unconceivable
Breaking apart the ones you love
Hate runs deep for what you've done to us
Left alone through suicide...suicide

I just want to die, take away my life
Lay by your side, please

Come back to me, this is unconceivable
Breaking apart the ones you love
Hate runs deep for what you've done to us
Left alone through suicide

Look at my face you pierce with a blank stare
No dream could prepare a heart for a lifeless friend
He's gone. Nothing will take back time
I need him back, but nothing will take back time

I can see just fine with you in my life
And there by my side as it starts to fade
I know this can't be right, stuck in a dream
A nightmare full of sorrow

Nightmare – full of pain
Nightmare – full of pain

I look back and see the twisted road
Best friends and despair took its toll

Take away
Take away
Take away
Take away

You can't be replaced
I'm left alone with you
In spirit and the words
You wrote to me

Sorrow, sank deep inside my blood
All the ones around me, I cared for
And most of all I loved
But I can't see myself that way
Please don't forget me
Or cry while I'm away

Look at my face you pierce with a blank stare
No dream could prepare a heart for a lifeless friend
He's gone. Nothing will take back time
I need him back, but nothing will take back time

I can see just fine with you in my life
And there by my side as it starts to fade
I know this can't be right, stuck in a dream
A nightmare full of sorrow

I can see just fine with you in my life
And there by my side as it starts to fade
I know this can't be right, stuck in a dream
A nightmare full of sorrow"
111;Warmness On The Soul;Sounding The Seventh Trumpet;"We keep writing, talking and planning, but everything's changing
We all know what to do but no one does it
Now this time has passed and full of regret

Two in my heart have left me a while, I stand alone
When they get back, it won't be the same

(Never be the same)

My life, you've always been there
Now you're gone, and my head's spinning
Left the childhood, left the memories, left the good times in the past
Moving on your time has run out

Wishing the clock would stand still, the world can wait
Wasting away once again, once lived as friends

As time passes by, regrets for the rest of my life
The ones who I confide were gone in the black of the night

Never will I forget you, and all the memories past
So rarely I get to see your face
Growing I looked to you in guidance
We knew that time would kill us, but you're still so close to me

To me you were my life
To me you were my soul companion
Now you are so far away
Nothing can take away the times and the memories we had

Come back – to the days when we were young
Come back – to the days when nothing mattered
To the days when nothing mattered

And I feel time passes by, regrets for the rest of my life
The ones who I confide were gone in the black of the night

As time passes by, regrets for the rest of my life
The ones who I confide were gone in the black of the night"
112;We Come Out At Night;Sounding The Seventh Trumpet;"I sit stoic
Touch of the divine upon my neck
Lay me gently
Take my body down, let me ascend

Help me to hear and hear me to save
And save me before I've gone too far
Let me inhale my passage to hell
While slowly exhaling the scar

You walk on water
But the water swallows you

I lay quiet
Floating in the stillness of this tomb
Headstone empty
Choking on the flowers as they bloom

No one to know and no where to hide
And nothing of me I've left behind
Silence of one the meaning of none
And letting it all go to be

You walk on water
But the water swallows you
You're like no other
You're the other one in view

Don't let it be
Don't let it be
Don't let it

It's a beautiful morning
It's a beautiful day
Everybody is smiling
In a beautiful way

I took a walk to paint the flowers and the trees
The sun reflected gazing fondly on me
I made a picture and I put it in the rays outside
It washed the paint away and carried me home
I have finally arrived

There's no one but you... two

Dressed in armor
Just the hollow shell I was before

Help me to turn my attention on me
So empty just as I was before
Let me exhale concession to hell
While slowly embracing the scar

You walk on water
But the water swallows you
And you're like no other
You're the other one in view
Don't let it be
You walk on water
Don't let it be, don't let it be
But the water swallows you
Don't let it be
Don't let it, don't let it
And you're like no other
Don't let it be, don't let it be
You're the other one in view
Don't let it be"
